Area Code,Area,Item Code,Item,Element,Year Code,Year,Unit,Value,SUBJECT,MEASURE,Value
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2012,2012,tonnes,2760.16,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2013,2013,tonnes,2444.4,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2014,2014,tonnes,1142.72,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2015,2015,tonnes,423.2,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2016,2016,tonnes,2612.24,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2017,2017,tonnes,2306.68,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2002,2002,1000 US$,5629.28,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2003,2003,1000 US$,5847.59,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2004,2004,1000 US$,7887.31,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2005,2005,1000 US$,9131.72,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2006,2006,1000 US$,6313.45,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2007,2007,1000 US$,4423.39,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2008,2008,1000 US$,6691.41,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2009,2009,1000 US$,6470.66,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2010,2010,1000 US$,4696.89,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2011,2011,1000 US$,2171.27,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2012,2012,1000 US$,1637.49,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2013,2013,1000 US$,1319.06,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2014,2014,1000 US$,495.65,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2015,2015,1000 US$,200.19,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2016,2016,1000 US$,967.4,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Value,2017,2017,1000 US$,809.71,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2002,2002,tonnes,939031,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2003,2003,tonnes,745665,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2004,2004,tonnes,497712,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2005,2005,tonnes,573402,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2006,2006,tonnes,600854,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2007,2007,tonnes,992677,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2008,2008,tonnes,992677,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2009,2009,tonnes,1239491,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2010,2010,tonnes,1211306,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2011,2011,tonnes,1689132,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2012,2012,tonnes,1681156,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2013,2013,tonnes,1579848.37,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2014,2014,tonnes,278586,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2015,2015,tonnes,288094,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2016,2016,tonnes,296375,,,
21,Brazil,4003,Ammonium nitrate (AN),Agricultural Use,2017,2017,tonnes,215884,,,
21,Brazil,4002,Ammonium sulphate,Production,2002,2002,tonnes,213165,,,
21,Brazil,4002,Ammonium sulphate,Production,2003,2003,tonnes,223383,,,
21,Brazil,4002,Ammonium sulphate,Production,2004,2004,tonnes,240824,,,
21,Brazil,4002,Ammonium sulphate,Production,2005,2005,tonnes,219367,,,
21,Brazil,4002,Ammonium sulphate,Production,2006,2006,tonnes,236449,,,
21,Brazil,4002,Ammonium sulphate,Production,2007,2007,tonnes,258127,,,
21,Brazil,4002,Ammonium sulphate,Production,2008,2008,tonnes,219265,,,
21,Brazil,4002,Ammonium sulphate,Production,2009,2009,tonnes,226378,,,
21,Brazil,4002,Ammonium sulphate,Production,2010,2010,tonnes,293137,,,
21,Brazil,4002,Ammonium sulphate,Production,2011,2011,tonnes,314435,,,
21,Brazil,4002,Ammonium sulphate,Production,2012,2012,tonnes,295846,,,
21,Brazil,4002,Ammonium sulphate,Production,2013,2013,tonnes,253359,,,
21,Brazil,4002,Ammonium sulphate,Production,2014,2014,tonnes,338110,,,
21,Brazil,4002,Ammonium sulphate,Production,2015,2015,tonnes,275402,,,
21,Brazil,4002,Ammonium sulphate,Production,2016,2016,tonnes,258482,,,
21,Brazil,4002,Ammonium sulphate,Production,2017,2017,tonnes,264208,,,
21,Brazil,4002,Ammonium sulphate,Import Quantity,2002,2002,tonnes,1145132.03,,,
